t,ax,ay,az,gx,gy,gz
4.879999999999999716e+01,-8.961304679725129452e-02,-1.847132729814806029e-01,9.822092393050150250e+00,-1.037199781149575062e-01,3.042737037844949755e-01,-1.530890265804287687e+01
4.881000000000000227e+01,3.034371862498239092e-02,-1.734363447143151826e-01,9.927040981718070256e+00,1.274812967161641220e-01,6.293416417105213156e-02,-1.551783368142999286e+01
4.882000000000000028e+01,1.332076192716774021e-01,-1.321158421824723539e-01,9.752828071169115987e+00,-9.719761171127294652e-02,1.321602494297428876e-01,-1.461511324530902911e+01
4.882999999999999829e+01,-1.861039929332114762e-01,-2.506007346320874296e-01,9.853407301257085749e+00,-2.717381113489546474e-01,3.684857280791744572e-01,-1.436688462083962925e+01
4.884000000000000341e+01,1.126576887506457181e-02,-1.005092488457876437e-01,9.861369199522583173e+00,4.297446870656041473e-01,6.413923431785027718e-02,-1.394203009694086859e+01
4.885000000000000142e+01,8.565884418863506378e-02,-2.979792868514134496e-01,9.693572238259163143e+00,1.560592078988132791e-01,9.020848840784291556e-02,-1.460226983738907691e+01
4.885999999999999943e+01,-4.214777473057731288e-02,3.386052058982014223e-03,9.724756370296439911e+00,1.743969139831208492e-02,1.286524694305765937e-01,-1.579009258990125097e+01
4.886999999999999744e+01,-1.131042374295885278e-01,-2.418286296935192314e-01,9.638865195165546851e+00,2.888702902237659867e-02,-1.646206409547556482e-01,-1.467550310192605778e+01
4.888000000000000256e+01,4.209635271274037027e-02,-3.624204851683078266e-01,9.837091150752339530e+00,-2.316228003680866065e-01,-6.885477118080590708e-02,-1.557745468488082352e+01
4.889000000000000057e+01,1.001653503377100130e-01,-1.738764509656910429e-01,9.934247153917324269e+00,1.736248866897665069e-02,-3.481327018261203693e-02,-1.458317135943696741e+01
4.889999999999999858e+01,8.905221776454685934e-02,-2.078538097344584390e-01,9.730222082777283177e+00,-5.082630743903360226e-02,2.719578566767119621e-01,-1.497800165269241468e+01
4.890999999999999659e+01,3.659093379148274650e-02,-2.584699119635507913e-01,9.574570873229834689e+00,-1.073245032966247819e-01,2.923811816899326566e-01,-1.444251099312166531e+01
4.892000000000000171e+01,9.791373760864184941e-03,-3.209429141326949897e-02,9.805039768365226394e+00,-2.345373367374217199e-01,1.419474930509020960e-01,-1.445477571443064946e+01
4.892999999999999972e+01,-8.990125553843011930e-02,-9.117803244346649183e-02,9.929949740120532553e+00,-2.270347136387481923e-01,1.195932617974366785e-01,-1.554404952115930527e+01
4.893999999999999773e+01,8.652449503439420264e-02,-1.204602655365837049e-01,9.774730525987905594e+00,-1.564513485138915166e-03,-1.524394719667443165e-01,-1.506990399602082142e+01
4.895000000000000284e+01,8.099568133525075764e-02,-2.622060292324583930e-01,9.862346152721089609e+00,-1.141355970167472894e-02,-1.176685977071699751e-01,-1.448794187643605902e+01
4.896000000000000085e+01,-1.138058318655267159e-01,-2.196664733646011558e-01,9.588547306340126752e+00,3.675098002659085011e-02,-4.170700813376322924e-01,-1.554590871247278017e+01
4.896999999999999886e+01,3.644797278464911167e-02,-2.277712891296039821e-01,9.867079232133461275e+00,-1.082169032235116568e-01,1.507654508606066923e-01,-1.441339747097623203e+01
4.897999999999999687e+01,6.528238755197852961e-02,-3.493551764740687737e-01,9.962954007697998549e+00,-1.472586412476909745e-01,-5.352634044667074070e-02,-1.585053514449855250e+01
4.899000000000000199e+01,8.821137720755067857e-02,-1.395254786381952272e-01,9.994932818278012832e+00,1.565922734639808578e-01,-2.998575466636819176e-01,-1.475882395159340632e+01
4.900000000000000000e+01,-7.498961912722062161e-03,-1.322163762890406213e-01,9.909441556530836692e+00,5.518722325337996337e-02,8.618722088408292681e-02,-1.488497248761497360e+01
4.900999999999999801e+01,-8.575675741461441515e-02,-1.544523283741715824e-01,1.006532327484381462e+01,1.234395942186706369e-01,2.874791501537076743e-01,-1.468896313261554987e+01
4.902000000000000313e+01,-5.021161798640451368e-02,-1.439173898914565819e-01,9.896967350865377711e+00,2.847412960511768731e-01,8.746529200009262039e-02,-1.517888410444926350e+01
